기준분기,상권구분,상권지역,서비스업종,분기매출,분기당_매출건수,주중_매출금액,주말_매출금액
4,골목상권,벌말어린이공원,시계및귀금속,414871,40,414871,0
4,발달상권,구로디지털단지,가전제품,158354315,264,134377799,23976516
4,골목상권,신월시영아파트중문,가구,130001668,157,13788055,116213613
4,발달상권,잠실새내역(신천),시계및귀금속,167774249,1117,116968908,50805341
4,발달상권,방배역,가구,8249588,14,0,8249588
4,발달상권,미아사거리역,가전제품,546197909,7845,427750179,118447730
4,발달상권,수유역,시계및귀금속,310946253,1266,226910845,84035408
4,발달상권,본서부병원,가구,16120519,69,10234408,5886111
4,발달상권,창동역,시계및귀금속,109056453,459,105671638,3384815
4,발달상권,홍대입구역(홍대),가구,808000000,547,270412214,537587786
4,발달상권,도산공원교차로,가구,1268107264,825,623390817,644716447
4,골목상권,석촌중학교(방이육교),가전제품,390274630,6982,342280993,47993637
4,발달상권,노량진역(노량진),가구,459773672,644,216928407,242845265
4,발달상권,가로수길,시계및귀금속,290732707,1865,110242476,180490231
4,발달상권,신설동역,가전제품,37919344,147,0,37919344
4,발달상권,월드컵경기장역(월드컵경기장),시계및귀금속,93472390,1519,57516534,35955856
4,발달상권,구로전화국,시계및귀금속,77592447,426,77592447,0
4,발달상권,서울대입구역,가구,48979663,238,35251799,13727864
4,발달상권,길동역,가구,5418126,166,4977081,441045
4,발달상권,신림역(신림),시계및귀금속,99761637,1560,64383422,35378215
4,발달상권,천호역,시계및귀금속,915479417,1525,604511320,310968097
4,발달상권,인사동,가전제품,43099594,125,42891081,208513
4,발달상권,을지로4가역,가구,4433314507,4983,4238756418,194558089
4,발달상권,청담사거리(청담동명품거리),시계및귀금속,3148658348,5267,1984780646,1163877702
4,발달상권,등촌역,부동산중개업,427982,96,213991,213991
4,발달상권,합정역,시계및귀금속,147910729,475,135860288,12050441
4,발달상권,어린이대공원역,시계및귀금속,41091671,92,27497686,13593985
4,발달상권,장한평역(장한평),시계및귀금속,22718023,180,12419415,10298608
4,발달상권,신용산역(용산역),가전제품,5232417971,12962,3058457816,2173960155
4,발달상권,성북구청,가전제품,100439368,826,82671370,17767998
4,발달상권,선릉역,시계및귀금속,12122401,10,856229,11266172
4,발달상권,성신여대,가구,32814259,198,32814259,0
4,발달상권,"신촌역(신촌역, 신촌로터리)",가전제품,5230416,9,0,5230416
4,발달상권,삼각지역,부동산중개업,35933333,73,35933333,0
4,발달상권,목동신시가지,시계및귀금속,342211719,2644,174218283,167993436
4,발달상권,강변역(테크노마트),가전제품,8142092517,19381,5940690297,2201402220
4,발달상권,강변역(테크노마트),가구,1702897751,1869,799026812,903870939
4,발달상권,삼청동,가구,118396942,355,118396942,0
4,전통시장,본동인정시장(기능상실),가전제품,644828,19,644828,0
4,전통시장,영등포역지하도상점가,시계및귀금속,1436111558,2173,1210467922,225643636
4,전통시장,인헌시장(원당종합시장),시계및귀금속,6509467,72,5888950,620517
4,발달상권,아차산역,가구,193373146,776,192711123,662023
4,발달상권,사가정역,시계및귀금속,20912488,90,19215604,1696884
4,발달상권,상봉역,시계및귀금속,255367965,696,172051490,83316475
4,전통시장,장미원골목시장,시계및귀금속,40009825,298,20271263,19738562
4,발달상권,여의도역(여의도),부동산중개업,160347583,675,160347583,0
4,발달상권,삼청동,시계및귀금속,18982167,251,6444015,12538152
4,발달상권,충무로역,시계및귀금속,92570798,262,92570798,0
4,발달상권,동대문역사문화공원역,시계및귀금속,49668864,112,49613181,55683
4,발달상권,가산디지털단지,시계및귀금속,109564162,1643,84538430,25025732
4,발달상권,대림3동사거리,시계및귀금속,5820854,50,4696051,1124803
4,발달상권,교육개발원입구사거리,가전제품,146221813,3458,146221813,0
4,발달상권,사당역(사당),가구,1170000000,12252,922418498,247581502
4,발달상권,포이사거리(삼호물산),가전제품,38043771,446,38043771,0
4,발달상권,구로구청,가전제품,108000000,444,72846722,35153278
4,발달상권,남부터미널역,시계및귀금속,98788707,2278,91749273,7039434
4,발달상권,석촌고분역,가구,391507350,244,258631504,132875846
4,발달상권,코엑스,가구,8512320761,3912,5431244041,3081076720
4,발달상권,목동역 8번출구,가구,63884297,91,30826446,33057851
4,발달상권,성수역,가전제품,42000000,45,24821559,17178441
4,발달상권,가산디지털단지,가구,67900416,265,67900416,0
4,전통시장,뚝도시장,시계및귀금속,45634118,182,45634118,0
4,전통시장,난곡 골목형상점가,시계및귀금속,10745152,7,9000000,1745152
4,전통시장,남대문시장(자유상가),시계및귀금속,2765170164,64826,1961430387,803739777
4,발달상권,대치역,시계및귀금속,127266397,720,121738940,5527457
4,발달상권,여의도역(여의도),가전제품,3335486,6,3335486,0
4,발달상권,역삼역,가구,26774608,159,6355004,20419604
4,발달상권,신도림역,가전제품,1328770214,7460,970618747,358151467
4,전통시장,강북북부골목시장,시계및귀금속,10330478,42,7562768,2767710
4,발달상권,교대역(법원.검찰청),부동산중개업,160606,32,160606,0
4,발달상권,구역삼세무서,가구,458263631,258,40643856,417619775
4,전통시장,창신골목시장,시계및귀금속,8960302,46,5103970,3856332
4,발달상권,대치사거리,가구,1313508573,1785,914014743,399493830
4,전통시장,성동용답상가시장,시계및귀금속,84295271,354,52636411,31658860
4,전통시장,수유프라자,가구,60770432,233,37674864,23095568
4,발달상권,서울세관,시계및귀금속,287995392,2330,287677543,317849
4,전통시장,청량리전통시장,가전제품,42211283,428,40785914,1425369
4,전통시장,월정로시장,시계및귀금속,38864687,73,23521620,15343067
4,전통시장,동묘시장(동묘벼룩시장),가전제품,30134873,614,30134873,0
4,전통시장,비단길현대시장(현대시장),시계및귀금속,243357543,312,213119060,30238483
4,전통시장,전곡시장,가전제품,192729548,637,185566360,7163188
