uniqueid,기준분기,상권구분,상권지역,서비스업종,분기매출,분기당매출건수,주중매출금액,주말매출금액
YH212,4분기,골목상권,신대방삼거리역 3번,가구,20074361,71,19721146,353215
YH213,4분기,발달상권,오금역,가전제품,17358782,49,17358782,0
YH214,4분기,골목상권,광진정말공원,가구,5752508,54,3478261,2274247
YH215,4분기,골목상권,신월문화체육센터,시계및귀금속,8552874,16,8552874,0
YH216,4분기,골목상권,벌말어린이공원,시계및귀금속,414871,40,414871,0
YH217,4분기,발달상권,구로디지털단지,가전제품,158354315,264,134377799,23976516
YH218,4분기,골목상권,신월시영아파트중문,가구,130001668,157,13788055,116213613
YH219,4분기,발달상권,잠실새내역(신천),시계및귀금속,167774249,1117,116968908,50805341
YH220,4분기,발달상권,방배역,가구,8249588,14,0,8249588
YH221,4분기,발달상권,미아사거리역,가전제품,546197909,7845,427750179,118447730
YH222,4분기,발달상권,수유역,시계및귀금속,310946253,1266,226910845,84035408
YH223,4분기,발달상권,본서부병원,가구,16120519,69,10234408,5886111
YH224,4분기,발달상권,창동역,시계및귀금속,109056453,459,105671638,3384815
YH225,4분기,발달상권,홍대입구역(홍대),가구,808000000,547,270412214,537587786
YH226,4분기,발달상권,도산공원교차로,가구,1268107264,825,623390817,644716447
YH227,4분기,골목상권,석촌중학교(방이육교),가전제품,390274630,6982,342280993,47993637
YH228,4분기,발달상권,노량진역(노량진),가구,459773672,644,216928407,242845265
YH229,4분기,발달상권,가로수길,시계및귀금속,290732707,1865,110242476,180490231
YH230,4분기,발달상권,신설동역,가전제품,37919344,147,0,37919344
YH231,4분기,발달상권,월드컵경기장역(월드컵경기장),시계및귀금속,93472390,1519,57516534,35955856
YH232,4분기,발달상권,구로전화국,시계및귀금속,77592447,426,77592447,0
YH233,4분기,발달상권,서울대입구역,가구,48979663,238,35251799,13727864
YH234,4분기,발달상권,길동역,가구,5418126,166,4977081,441045
YH235,4분기,발달상권,신림역(신림),시계및귀금속,99761637,1560,64383422,35378215
YH236,4분기,발달상권,천호역,시계및귀금속,915479417,1525,604511320,310968097
YH237,4분기,발달상권,인사동,가전제품,43099594,125,42891081,208513
YH238,4분기,발달상권,을지로4가역,가구,4433314507,4983,4238756418,194558089
YH239,4분기,발달상권,청담사거리(청담동명품거리),시계및귀금속,3148658348,5267,1984780646,1163877702
YH240,4분기,발달상권,등촌역,부동산중개업,427982,96,213991,213991
YH241,4분기,발달상권,합정역,시계및귀금속,147910729,475,135860288,12050441
YH242,4분기,발달상권,어린이대공원역,시계및귀금속,41091671,92,27497686,13593985
YH243,4분기,발달상권,장한평역(장한평),시계및귀금속,22718023,180,12419415,10298608
YH244,4분기,발달상권,신용산역(용산역),가전제품,5232417971,12962,3058457816,2173960155
